dataid,1/1/2017,1/2/2017,1/3/2017,1/4/2017,1/5/2017,1/6/2017,1/7/2017,1/8/2017,1/9/2017,1/10/2017,1/11/2017,1/12/2017,1/13/2017,1/14/2017,1/15/2017,1/16/2017,1/17/2017,1/18/2017,1/19/2017,1/20/2017,1/21/2017,1/22/2017,1/23/2017,1/24/2017,1/25/2017,1/26/2017,1/27/2017,1/28/2017,1/29/2017,1/30/2017,1/31/2017,building_type,pv,city,ageofhouse,total_square_footage,EV,appliances/outlets
59,43.4381,31.17376667,36.80428333,66.31825,70.23881667,127.2905667,131.5209167,109.0033167,56.06186667,31.43041667,27.35886667,26.3722,19.49305,45.15886667,32.96243333,28.19801667,46.55045,55.58896667,36.7769,28.01233333,34.21041667,26.29076667,35.96741667,36.69293333,28.13355,59.20278333,66.38293333,53.3227,57.92278333,46.93415,34.86581667,1,0,1,11,2122,0,12
77,26.83921667,38.90273333,24.63681667,49.59446667,50.6551,99.48196667,85.74281667,69.85866667,35.4347,22.2569,26.99766667,31.40621667,22.34773333,28.53688333,27.4318,19.87888333,44.81218333,47.31968333,28.71088333,30.5657,25.6456,27.21345,20.27858333,15.85195,22.89523333,36.47638333,45.76856667,42.16431667,41.71196667,28.17473333,28.30631667,1,1,1,11,1439,0,11
86,38.7062,26.99115,25.69333333,22.10386667,29.29035,59.60393333,45.52253333,30.62371667,18.48316667,21.0219,22.01191667,23.30242464,47.78578333,18.05543333,17.16213333,21.59555,21.84311667,19.82106667,20.24183333,20.67996667,23.23771667,27.92875848,15.91483333,17.54001667,20.55596667,19.40358333,19.30285763,19.44173333,26.68026667,16.57213333,17.43263333,1,1,1,12,1842,0,1
93,21.05386667,19.9165,13.02453333,13.78491667,12.93786667,16.4841,20.6058,19.07591667,13.62413333,11.97006667,11.05068333,12.61818333,14.125,13.05436667,15.09593333,11.13976667,12.7516,12.46296667,13.20623333,16.90262923,16.99449336,13.98531667,15.91185,12.03373701,12.16454242,14.37533333,13.73171667,14.37418333,14.80016667,14.10665,13.96703333,1,1,1,11,2075,1,1
94,25.91515,15.73858333,11.90115,8.212716667,8.1672,9.648216667,19.35236667,9.348166667,10.63191667,10.03383333,10.85681667,14.24903333,15.43796667,20.51455,22.0121,24.9916,14.86901667,17.23693333,14.34306667,14.24723333,14.49073333,16.24646667,11.27548333,10.37466667,13.29218333,12.73728333,15.0626,11.7149,7.956366667,7.650633333,7.5818,1,1,1,11,1842,1,10
101,6.181916667,7.690316667,10.7782,7.100266667,6.9202,6.717066667,12.42203333,11.86561667,5.914683333,14.52571667,12.0736,11.75235,12.61031667,5.120816667,5.498966667,24.53346667,7.806416667,8.370316667,7.109266667,6.094566667,7.422483333,7.488066667,12.31971667,5.89165,8.0589,5.868383333,5.64605,7.759016667,17.10285,6.822783333,5.78655,1,1,1,12,2680,1,17
114,22.92868333,29.79058333,16.42253333,23.33035,37.002,30.88881667,30.8636,31.46578333,20.50111667,26.56406667,23.90818333,13.20395,12.09758333,16.4294,33.37196667,11.25998333,18.92715,15.50945,34.1433,7.46795,25.1639,22.06893333,11.14858333,10.43915,17.12,22.3741,22.355,31.37181667,33.49575,23.18191667,22.83968333,1,1,1,12,2345,1,10
115,8.756516667,27.17016728,7.721316667,15.69801667,17.95651667,48.279,48.99768333,35.00788519,15.31823333,7.022133333,6.3242,6.697866667,8.561916667,6.255583333,6.2845,6.1237,6.349266667,7.465183333,6.9936,6.030216667,5.980982694,6.639233333,7.815166667,9.118783333,6.741216667,11.06163333,19.301,18.21115,18.52908909,12.82731667,8.01095,1,1,1,11,1720,0,0
171,20.4841,11.88656667,16.22273333,15.48365,20.29926667,18.66536667,18.92868333,18.37311667,14.95381667,10.37661667,10.9957,15.70186667,13.46855,12.96903333,15.83081667,18.43203333,15.96571667,15.4973,14.836,10.39035,14.95256667,16.08061667,13.36593333,12.58085,13.94528333,11.70798333,16.33435,12.72943333,18.56816667,12.051,11.6027,1,1,1,12,1842,1,9
187,25.59456667,25.57815,25.94771667,26.74726667,36.8313,33.51033333,35.05435,33.528,31.2346,36.34003333,37.11315,39.77945,31.22945,37.73085,32.42986667,40.40106667,40.9263,40.16023333,30.04446667,29.97661667,23.96651667,34.01271667,15.62405,11.74208333,25.42331667,13.32038333,24.22161667,27.03291667,26.3177,32.86773333,15.97936667,1,1,1,2019,2351,0,1
232,27.33866667,22.74161667,24.8139,26.95135,25.47326667,25.63931667,22.7831,37.93401667,25.11705,26.6109,32.1853,26.52221667,18.81776667,16.48311667,14.18296667,20.08085,20.29996667,21.42261667,22.65758333,24.1199,19.04028333,20.06201667,21.51708333,23.72135,23.84666667,24.85995,35.65033333,17.37698333,17.76711667,19.47056667,20.93318333,1,1,1,12,2122,1,18
252,35.42391667,56.41448333,91.92231667,45.62456667,43.45196667,62.03356667,44.96323333,45.2236,44.09576667,56.45823333,49.49643333,69.3053,56.4974,49.0319,62.45165,59.28525,48.68251667,41.06373333,41.04041667,49.80621667,45.61031667,47.30206667,53.49001667,59.16948333,45.7478,44.51368333,36.75046667,66.31605,63.7201,64.1494,45.2624,1,1,1,11,2122,0,3
330,21.43693333,18.69633333,17.54448333,48.40131667,61.36502673,102.9173714,123.1805704,95.06240521,39.61163333,14.97936667,25.09369722,20.12103333,17.1608,15.74635,33.72315,19.66605238,35.43081667,45.27076667,33.89557222,17.83438898,16.11123333,12.53030833,14.50095,20.05404598,16.00772807,19.79696667,31.41185,28.0517,45.04445,27.77401667,18.7666,1,0,1,12,2236,0,9
370,26.56058333,24.71511667,32.03603333,28.35628333,23.9475,31.98306667,30.15171667,27.69325,27.10273333,34.19933333,20.08056667,29.65878333,28.39965,23.74845,23.9641,27.85418333,33.83816667,35.38123333,32.85336667,27.79443333,22.69671667,31.9098,22.62246667,32.74411667,32.13445,45.96581667,31.51633333,24.46661667,32.00285,27.81881667,35.28658333,1,1,1,12,1720,1,15
379,24.62338333,16.08265,46.37656667,52.83355,28.85458333,55.48715,53.46583333,117.8662833,49.55328333,24.2123,41.88796667,41.39103333,24.14543333,26.96406667,78.66676667,26.23681667,33.59906667,53.1816,65.7979,34.44051667,24.89705,16.66315,22.60088333,69.64441667,31.30681667,20.26378333,51.14615,79.20168333,52.42833333,48.05453333,34.98205,1,1,1,11,2710,0,1
