dataid,building_type,city,state,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,car1
2836,Single-Family Home,Austin,Texas,,,,,,,1994,2796,1476,1320,0,,,
2743,Single-Family Home,Austin,Texas,,,,,,,1949,1590,1590,0,0,,,
5323,Single-Family Home,Austin,Texas,,,,,,,2008,1185,602,583,0,,,
8560,Single-Family Home,Austin,Texas,,,,,,,2009,2001,1435,566,0,,,
3313,Single-Family Home,Austin,Texas,,,,,,,2007,2001,1435,566,0,,,
5052,Single-Family Home,Austin,Texas,,,,,,,2008,1185,602,583,0,,,
3936,Single-Family Home,Austin,Texas,,,,,,,2007,2134,1162,972,0,,,
1622,Town Home,Austin,Texas,,,,,,,2008,1576,778,798,0,,,
1114,Single-Family Home,Austin,Texas,yes,South,5.25,5.25,0,,2007,2122,1162,960,0,,,
5433,Single-Family Home,Austin,Texas,yes,,,,,,2007,1422,1422,0,0,,,
1101,Single-Family Home,Austin,Texas,yes,South;West,6.25,3,3.25,,2008,2649,1639,1010,0,,,
8872,Single-Family Home,Austin,Texas,yes,South;West,5.5,,3.25,,2008,1422,1422,0,0,,,
1464,Single-Family Home,Austin,Texas,yes,South;West,3.3,1.65,1.65,,2007,2345,1385,960,0,,,
3824,Single-Family Home,Austin,Texas,yes,South;West,6.37,,3.185,,2009,2001,1435,566,0,,,
78,Single-Family Home,Austin,Texas,yes,,,,,,2008,3249,1532,1717,0,,,
8047,Single-Family Home,Austin,Texas,yes,,,,,,2009,3245,1779,1466,0,,,
5839,Single-Family Home,Austin,Texas,yes,,7,,,,2009,2068,1036,1032,0,,,
1050,Single-Family Home,Austin,Texas,,,,,,,2007,3249,1532,1717,0,,,
8597,Single-Family Home,Austin,Texas,yes,West,5.635,,5.635,,2008,2122,1162,960,0,,,
7982,Single-Family Home,Austin,Texas,yes,South;West,3.885,1.295,2.59,,2007,1720,1720,0,0,,,yes
7057,Single-Family Home,Austin,Texas,,,,,,,2009,1720,1720,0,0,,,yes
3192,Single-Family Home,Austin,Texas,yes,South;West,6.105,4.07,2.035,,2008,2075,2075,0,0,,,yes
1790,Single-Family Home,Austin,Texas,yes,South;West,6.37,3.43,2.94,,2008,3023,1473,1550,0,,,
3577,Single-Family Home,Austin,Texas,,,,,,,2008,2122,1162,960,0,,,
8890,Single-Family Home,Austin,Texas,yes,South;West,5.64,3.525,2.115,0,2008,2194,1423,771,0,0,0,
6830,Single-Family Home,Austin,Texas,,,,,,,2008,2075,2075,0,0,,,
2575,Single-Family Home,Austin,Texas,yes,South,6.25,6.25,0,,2008,1439,1439,0,0,,,
5785,Single-Family Home,Austin,Texas,yes,South;West,6.37,1.96,4.41,,2007,1842,1379,463,0,,,
3544,Single-Family Home,Austin,Texas,yes,West,4.5,,4.5,,2008,1185,602,583,0,,,
1800,Single-Family Home,Austin,Texas,yes,South;West,9.99,4.995,4.995,,2008,2075,2075,0,0,,,yes
18,Single-Family Home,Austin,Texas,yes,West,3.33,0,3.33,0,2009,1439,1439,0,0,,,
35,Single-Family Home,Austin,Texas,,,,,,,2008,1240,620,620,0,,,
114,Single-Family Home,Austin,Texas,yes,,3.5,,,,2008,1842,1379,463,0,,,yes
370,Single-Family Home,Austin,Texas,yes,South;West,6.105,2.035,4.07,,2007,2680,2680,0,0,,,yes
545,Single-Family Home,Austin,Texas,yes,South;West,3.15,1.4,1.75,,2007,2345,1385,960,0,,,yes
585,Single-Family Home,Austin,Texas,yes,West,4.995,,4.995,,2008,1720,1720,0,0,,,
661,Single-Family Home,Austin,Texas,yes,South,6.3,6.3,,,2007,1842,1379,463,0,,,yes
744,Single-Family Home,Austin,Texas,yes,South,5.92,5.92,0,,,2351,,,,,,
964,Single-Family Home,Austin,Texas,,,,,,,2008,2919,1401,1518,0,,,
1185,Single-Family Home,Austin,Texas,yes,South;West,7.215,4.995,2.22,,2007,2122,1162,960,0,,,yes
1192,Single-Family Home,Austin,Texas,yes,South;West,6.25,3.25,3,,2008,2122,1162,960,0,,,
1463,Single-Family Home,Austin,Texas,,,,,,,2007,2236,793,1443,0,,,
1642,Single-Family Home,Austin,Texas,yes,South;West,6.37,3.43,2.94,,2007,1720,1720,0,0,,,yes
1718,Single-Family Home,Austin,Texas,yes,South;West,5.88,2.45,3.43,,2008,2710,1508,1202,0,,,
1801,Single-Family Home,Austin,Texas,yes,,12.425,,,,2008,2075,2075,0,0,,,yes
1852,Town Home,Austin,Texas,,,,,,,2008,1240,620,620,0,,,
2018,Single-Family Home,Austin,Texas,yes,South;West,7.8,4.68,3.12,,2008,3023,1473,1550,0,,,yes
2129,Single-Family Home,Austin,Texas,yes,South;West,6.25,4,2.25,,2008,2075,2075,0,0,,,
2233,Single-Family Home,Austin,Texas,yes,South,6.25,6.25,0,,2008,3245,1779,1466,0,,,
2335,Single-Family Home,Austin,Texas,yes,South;West,5.92,4.44,1.48,,2008,2710,1508,1202,0,,,yes
2337,Single-Family Home,Austin,Texas,yes,South,4.995,4.995,0,,2008,1439,1439,0,0,,,
2345,Town Home,Austin,Texas,,,,,,,2008,1748,1010,738,0,,,
2461,Single-Family Home,Austin,Texas,yes,South,8.175,8.175,,,2008,2075,2075,0,0,,,
2638,Town Home,Austin,Texas,yes,South,4.655,4.655,0,,2008,1970,1013,957,0,0,0,yes
2645,Single-Family Home,Austin,Texas,,,,,,,2008,2075,2075,0,0,,,
2653,Town Home,Austin,Texas,,,,,,,2008,2020,1074,946,0,,,
2814,Single-Family Home,Austin,Texas,yes,West,6.21,,6.21,,2009,1842,1379,463,0,,,yes
2818,Single-Family Home,Austin,Texas,yes,South;West,5.39,2.695,2.695,,2007,2345,1385,960,0,,,
2859,Single-Family Home,Austin,Texas,,,,,,,2008,1252,1252,0,0,,,
2945,Single-Family Home,Austin,Texas,yes,South;West,5.145,,2.035,,2007,1720,1720,0,0,,,
3009,Single-Family Home,Austin,Texas,yes,South,6.25,6.25,,,2008,1252,1252,0,0,,,
3039,Single-Family Home,Austin,Texas,yes,West,6.25,0,6.25,0,2010,3246,1706,1540,0,,,
3456,Single-Family Home,Austin,Texas,yes,South;West,6.105,4.07,2.035,,2008,1720,1720,0,0,,,
3482,Town Home,Austin,Texas,yes,West,5.13,,5.13,,2009,1900,950,950,0,,,yes
3739,Town Home,Austin,Texas,,,,,,,2009,2020,1074,946,0,,,
3918,Single-Family Home,Austin,Texas,yes,South;East,6.84,5.13,,1.71,2008,3023,1473,1550,0,,,
3967,Single-Family Home,Austin,Texas,yes,South;West,6.12,3.24,2.88,,2008,2521,2521,0,0,,,yes
4031,Single-Family Home,Austin,Texas,yes,South;West,6.37,3.185,3.185,,2007,1946,1001,945,0,,,
4228,Single-Family Home,Austin,Texas,,,,,,,2008,1240,620,620,0,,,
4336,Single-Family Home,Austin,Texas,yes,West,3.33,,3.33,,2009,2090,1168,922,0,,,yes
4421,Town Home,Austin,Texas,,,,,,,2008,1185,602,583,0,,,
4447,Single-Family Home,Austin,Texas,yes,South,6.37,6.37,0,0,2010,2713,1514,1199,0,,,
4590,Single-Family Home,Austin,Texas,,,,,,,2008,2669,1455,1214,0,,,
4671,Single-Family Home,Austin,Texas,,,,,,,2008,1240,620,620,0,,,
4726,Single-Family Home,Austin,Texas,,,,,,,2009,1994,1001,993,0,,,
4767,Single-Family Home,Austin,Texas,yes,South;West,5.5,3,2.5,,2008,2710,1508,1202,0,,,yes
4998,Single-Family Home,Austin,Texas,,,,,,,2008,2710,1508,1202,0,,,yes
5193,Single-Family Home,Austin,Texas,,,,,,,2008,2001,1435,566,0,,,
5275,Single-Family Home,Austin,Texas,yes,South;West,6.125,,3.92,,2007,2132,866,1266,0,,,
5403,Single-Family Home,Austin,Texas,yes,South;West,4.56,2.4,2.16,0,2007,1720,1720,0,0,,,yes
5545,Single-Family Home,Austin,Texas,yes,East,1.2,,,1.2,2009,1994,1001,993,0,,,
