,dataid,status,foundation_pier_beam,foundation_slab,spend_time_at_home_none,spend_time_at_home_monday,spend_time_at_home_tuesday,spend_time_at_home_wednesday,spend_time_at_home_thursday,spend_time_at_home_friday,ethnicity_asian_pacific_islander,ethnicity_black_african_american,ethnicity_caucasian_other_than_hispanic_or_latino,ethnicity_hispanic_or_latino,ethnicity_native_american_alaska_native,ethnicity_other,ethnicity_decline,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_65_and_older,education_level,total_annual_income,pv_system_own,pv_system_size,pv_system_reason,pv_system_satisfied,pv_system_features_liked,pv_system_surprising_features,pv_system_questions_asked,pv_neg_factors_too_expensive,pv_neg_factors_uncertainty,pv_neg_factors_ugly,pv_neg_factors_resale_value_concerns,pv_neg_factors_none,pv_neg_factors_other,pv_pos_factors_independence,pv_pos_factors_no_emissions,pv_pos_rate_increase_protection,pv_pos_factors_none,pv_pos_factors_other,additional_solar_future,additional_solar_size,retrofits,retrofits_weather,hvac_sealed_duct_leak,energy_efficient_windows,new_hvac,added_space,new_dishwasher,new_clotheswasher,new_clothesdryer,new_refrigerator,new_oven,other_changes,hvac_central_air_gas_furnace,hvac_central_air_electric_heating,heat_pump_split,hvac_geothermal_heat_pump,hvac_window_unit_ac,hvac_ductless_minisplit,hvac_no_ans,ac_compressor_num,temp_setting_weekday_workday_sumr,temp_setting_weekday_morning_sumr,temp_setting_weekday_evening_sumr,temp_setting_weekday_sleeping_hr_sumr,temp_setting_weekend_daylight_sumr,temp_setting_weekday_workday_wintr,temp_setting_weekday_morning_wintr,temp_setting_weekday_evening_wintr,temp_setting_sleeping_hr_wintr,temp_setting_weekend_daylight_wintr,thermostat_brand,thermostat_is_programmable,thermostat_programming_level,any_annual_ac_svc,electronic_device_cable_box_number,electronic_device_dvr_number,electronic_device_router_number,electronic_device_gaming_sys_number,electronic_device_other,water_heater_type,water_heater_type_other,any_electric_vehicle,electric_vehicle_year,electric_vehicle_make,electric_vehicle_model,vehicle_chargn_home,vehicle_chargn_level2ev,vehicle_chargn_public,vehicle_chargn_work,vehicle_chargn_work_avail,vehicle_chargn_time,electric_vehicle_satisfied,electric_vehicle_features_liked,electric_vehicle_buy_reason_envir,electric_vehicle_buy_reason_save_money,electric_vehicle_buy_reason_new_tech_interest,electric_vehicle_buy_reason_performance,electric_vehicle_buy_reason_quietness,electric_vehicle_buy_reason_other_recommended,electric_vehicle_buy_again,any_family_frnd_living,any_family_frnd_living_details,have_dishwasher,have_clotheswasher_front_load,have_clotheswasher_top_load,have_water_softner,have_icemaker,have_swimming_pool,have_hot_tub,have_outdoor_sprinkler,have_landscape_water_feature,have_automated_drip_irrigation,have_water_garden,have_other_water_using_appliance,water_activity_watering_plants,water_activity_wash_vehicle,water_activity_wash_house_exterior,water_activity_other,water_line_broke_by_u,water_line_broke_by_someone,water_line_broke_by_u2,water_line_broke_by_someone2,low_level_water_leak_discovered_by_u,low_level_water_leak_discovered_by_someone,continuous_water_flow_discovered_by_you,continuous_water_flow_discovered_by_someone,continuous_water_flow_discovered_by_u2,continuous_water_flow_discovered_by_someone2,water_leak_caused_financial_cost,collect_water_rain,collect_water_rain_way,collect_water_rain_way_other,any_water_utility_prog_particiaption_no,any_water_utility_prog_particiaption_yes_rebates,any_water_utility_prog_particiaption_yes_coupons,any_water_utility_prog_particiaption_yes_consults,any_water_utility_prog_particiaption_other,any_water_utility_prog_particiaption_other2,any_irrigation_audit,any_water_conserve_prog,any_water_conserve_prog_useful,energy_saving_led,energy_saving_attic_insulation,energy_saving_efficient_windows,energy_saving_efficient_furnace,energy_saving_efficient_ac,energy_saving_efficient_water_heater,energy_saving_efficient_thermostat,energy_saving_add_caulking,energy_saving_replace_showerhead,energy_saving_renewable_sys,energy_saving_other,energy_spending_general_approach1,energy_spending_general_approach2,energy_spending_general_approach3,energy_development_oil,energy_development_wind,energy_development_natural_gas,energy_development_natural_gas_shale,energy_development_nuclear,energy_development_coal,energy_development_solar,energy_development_hydropower,energy_development_bioenergy,can_reduce_energy_consumption,know_steps_reduce_energy_consumption,cannot_reduce_energy_consumption,individual_responsible_energy_reduce,energy_reduce_regulation,energy_reduce_risky,can_lower_energy_use,energy_reduce_other_ways
0,﻿18,Complete,,Slab,,Monday,,,,Friday,,,Caucasian,,,,,,,,,,,1,,Postgraduate degree,"$100,000 - $149,999",Yes,,to use less fossil fuels to make my own power. ,Very,contribution to community and those negative electricity bills,the credit system and its lack of rollover,,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,80,78,78,78,76,68,70,72,68,72,,Yes,Easy,No,1,1,1,None,"electric clocks, sometimes computer",Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,Someone you know,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,,,Strongly oppose,Strongly oppose,,,,Neither,Neither,Slightly disagree,Neither,Slightly agree,Strongly disagree,Strongly disagree,
1,26,Complete,,Slab,none,,,,,,,,Caucasian,,,,,,1,1,,,,,,Postgraduate degree,"$150,000 - $299,000",Yes,6kW,I'm smart and I care.,Somewhat satisfied,Little to no maintenance. Reduced electric bill.,Cost of adding additional cells.,Incentives,,,,,,,,,,,,No,,No,,,,,,,,,,,,,Central air system with electric heating,,,,,,1,79,77,78,76,79,65,72,70,68,70,nest,Yes,Easy,Yes,None,None,1,1,"home theatre system is left on regularly by the kids, laptop computer, sonos system, two apple TV boxes, two smart TVs",Electric - tank,,Yes,2013,Ford,Energi,0%,10%,,90%,Yes,When I arrive home,Somewhat satisfied,Environmental and societal benefits,Environmental benefit,Saving money on gasoline,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,Pressure washing exterior structures or sidewalks,,You,,,,,,You,,,,Broken irrigation line,No,,,No,,,,,,Yes,Yes,City Water Restrictions,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Slightly oppose,Strongly oppose,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Strongly support,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,"You should draw a distinction about summer and people with teenagers. they are at home in the summer, so the thermostat is not as high as it should be if no one is at home. Earlier question asked if people where at home during the work week - no except in summer. Your data will be off. You do no define things like near future - we may replace an electric plugin hybrid with a full electric car, but it would be at least a year out and will depend on several factors. I would add more solar to my house if it was cost effective. I would explore a Tesla solar roof if I was replacing a roof and the price was competitive with taking the savings into account.  "
2,43,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,2,,College graduate,"$10,000 - $19,999",Yes,6.7,Ground mount system. To reduce my carbon foot print. Slightly better investment than a CD or bonds.,Very,No moving parts. Lets me charge my Volt with solar power.,I have a credit balance on my electric bill.,Solar power is cheaper than retail utility electricity.,,,,,,,,,,,,No,,No,,,,,,,,,,,,,Central air system with electric heating,,,Window unit,,,1,76,76,76,76,76,60,60,60,60,60,Honeywell,Yes,Easy,No,1,1,2,None,"CCTV, LED porch light",Electric - tank,,Yes,2013,Chevrolet ,Volt,100%,0%,0%,0%,I work from home,I manually delay the time I start charging my vehicle,Very satisfied,Impressive technology,Environmental benefit,Saving money on gasoline,Interest in new technologies,,,,No,Yes,Daughter visits twice a year.,Dishwashing machine,,Clothes washing machine that is top loading,,,,,,,,,,Hand watering plants,Hand washing vehicles,,,,,,,,,You,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,Install high-efficiency air conditioner,,,,,Install a renewable energy system )e.g. PV solar cells and battery storage),induction cooking,Strongly agree,Slightly agree,Slightly agree,Strongly oppose,Strongly support,Slightly oppose,Slightly oppose,Slightly oppose,,Strongly support,Strongly support,Slightly oppose,Slightly disagree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly disagree,Strongly agree,What price/value would you give to a battery backup system. What size battery would be needed to be energy independent.
3,50,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,,2,Postgraduate degree,"$300,000 - $1,000,000",Yes,8060 Watt,To save on electric bills,Somewhat satisfied,It does save us money.  But the city continues to decrease the amount it credits us for the power produced.  So the payback for the system keeps getting longer.,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,,Heat Pump,,,,,,77,77,77,77,77,72,72,72,72,72,Honeywell,No,,No,3,1,1,None,,Gas - tankless,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),Swimming pool,,Outdoor sprinkler system,,,,,Hand watering plants,Hand washing vehicles,,,,,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,Install a high-efficiency tankless water heater,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Neither,Neither,Strongly support,Strongly support,Neither,Slightly disagree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,
4,125,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,,,Decline to Respond,0,0,0,0,0,0,2,0,Postgraduate degree,"Less than $10,000",No,,,,,,,,,,,,Not allowed by HOA,Independence from the utility,,,,,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",Sealed duct leaks on HVAC system,Installed more energy efficient windows,Installed new HVAC system,Kitchen 400sqft,,,,,,,Split system with gas furnace,,,,,,,2,75,75,75,75,75,68,68,68,68,68,Vivint,Yes,Moderately difficult,Yes,1,1,1,None,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),Swimming pool,Hot tub,Outdoor sprinkler system,Landscape water feature with water pump,,Water garden or pond,,,,,Water for pool,,Someone you know,,Someone you know,,Someone you know,,Someone you know,,Someone you know,,No,,,,Yes - rebates,,,,,Yes,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,Install a high-efficiency tankless water heater,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,,,Neither,Neither,Neither,Strongly support,Neither,Strongly support,Slightly support,Slightly support,Slightly support,Strongly support,Strongly support,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,
5,168,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,0,0,0,2,0,0,0,College graduate,"$100,000 - $149,999",No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,,,,No,,Yes,,,,,,,,,,,"new water heater, new roof and siding, new toilet",Split system with gas furnace,,,,,,,1,77,77,77,75,77,69,69,69,66,69,nest,Yes,Moderately difficult,Yes,None,1,1,1,"Computer, roku",Gas - tank,,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,,,,,,You,,toilet that wouldn't stop running,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,Slightly oppose,Strongly oppose,Neither,Slightly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neither,Slightly disagree,Slightly agree,"I would love to have solar, weatherize my house, and collect rain water. I just can't afford the initial investment."
6,193,Partial,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,1,0,2,0,Postgraduate degree,,No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,,,,Yes,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,193,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,1,0,2,0,Postgraduate degree,,No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,,,,,,,,,Installed a new  range/oven,,Split system with gas furnace,,,,,,,1,76,76,76,77,76,67,67,67,62,67,Smart Solutions,Yes,Easy,No,1,None,1,None,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),Swimming pool,,Outdoor sprinkler system,,,,,Hand watering plants,,,,,,,,,Someone you know,,,,,foundation leak that damaged carpet,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,,Install high-efficiency air conditioner,,,,,,,Strongly agree,Strongly agree,Strongly agree,Neither,Strongly support,Slightly support,Neither,Neither,Slightly oppose,Strongly support,Strongly support,Slightly support,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly disagree,Strongly agree,
8,245,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,1,1,Postgraduate degree,"$35,000 - $49,999",No,,,,,,,Too expensive,Not sure how much I would benefit,,,,The companies said it wouldn\'t save me enough to pay for cost.,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,Sealed duct leaks on HVAC system,,,,Installed a new dishwasher,,,,,New heat/ac,Split system with gas furnace,,,,,,,1,78,78,78,78,78,68,68,68,68,68,Coleman,Yes,,Yes,None,1,1,None,Wi-fi router and computer is on sleep mode when computer not being used,Gas - tank,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,,,,,,,,,Hand watering plants,,,,,,,,You,,,,,,We had 8 slab leaks inside home and 8 in the yard. The entire sewer line had to be replaced tunneling under house and creating new line into yard instead of under house. Two external slab penetrations were done to achieve new plumbing results.,Yes,Other - Write In,in 5 gal buckets for plants only,No,,,,,I am unaware of any programs.,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,Install high-efficiency furnace,Install high-efficiency air conditioner,,Install a smart thermostat,,Replace showerhead with water-efficient model,,,Strongly agree,Slightly agree,Strongly agree,Slightly support,Strongly support,Slightly support,Slightly support,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Neither,Strongly disagree,Strongly agree,Neither,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,"We used 274-860 Kwatts per month since Aug 2016. 7 months 274-397 only. Used 7-19 cff of natural gas 8 months and 30, 59, and 68 Jan-Mar 2017. Used 3-4,000 gals water  7 months and 5, 6, 7, 10,000 gal when watering yard. Our electric product is 100% wind."
9,298,Complete,,Slab,,,,,,Friday,,,,,,Other,,,,,,,,1,,College graduate,,No,,,,,,,Too expensive,,,,,,,Emission-free electricity,Protection against future utility rate increases,,,No,,No,,,,,,,,,,,,,Central air system with electric heating,,,,,,1,77,77,76,77,77,78,78,78,78,78,Don't know,No,Moderately difficult,Yes,1,None,1,None,,Electric - tank,,No,,,,,,,,No,,,,,,,,,,Yes,Yes,My daughter comes home for a few weeks every so often,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,You,,,,,,,,"I had a root from a large bush in the front yard break into the main water line, causing a leak that wasn't discovered until a huge bill arrived. The cost to replace was around $900",No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,Install high-efficiency air conditioner,,,,Replace showerhead with water-efficient model,,,Strongly agree,Slightly agree,Strongly agree,Strongly oppose,Strongly support,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly agree,
